Altium Designer Pick and Place Locations
C:\Users\Flanker\Documents\PlatformIO\Projects\ESP32_Bike_Computer\Hardware\Project Outputs for Bike_Comp\Pick Place for Peak_Track.csv

========================================================================================================================
File Design Information:

Date:       01/11/22
Time:       16:32
Revision:   42cc3da4188138cf2d9766d36626ab38ba8ac315
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","BOM_JLCPCB Part Class"
"S4","TSA363G25-250B","TopLayer","SW_SMD-3*6*2.5","44.1412","40.6808","360","Single-Pole, Single-Throw Switch",""
"S3","TSA363G25-250B","TopLayer","SW_SMD-3*6*2.5","33.5881","40.6808","360","Single-Pole, Single-Throw Switch",""
"S2","TSA363G25-250B","TopLayer","SW_SMD-3*6*2.5","23.2148","40.6808","360","Single-Pole, Single-Throw Switch",""
"R24","0R","TopLayer","RES_0402","9.2869","15.6304","90","Resistor",""
"IC2","74LVC1G04W5-7","BottomLayer","SOT95P285X140-5N","40.2590","30.9372","90","Integrated Circuit",""
"TP23","TP","BottomLayer","TEST_1","7.6962","23.2918","90","",""
"TP22","TP","BottomLayer","TEST_1","9.0946","22.8600","90","",""
"TP20","TP","BottomLayer","TEST_1","37.3380","24.7936","90","",""
"TP19","TP","BottomLayer","TEST_1","26.4922","34.0868","90","",""
"TP17","TP","BottomLayer","TEST_1","27.8638","34.0868","90","",""
"TP16","TP","BottomLayer","TEST_1","34.5788","16.3576","90","",""
"TP14","TP","BottomLayer","TEST_1","31.9024","16.3576","90","",""
"TP10","TP","BottomLayer","TP_SMD","14.3510","17.5260","90","",""
"TP2","TP","BottomLayer","TP_SMD","12.9286","10.1346","90","",""
"TP18","TP","BottomLayer","TEST_1","21.0281","21.8251","90","",""
"TP15","TP","BottomLayer","TEST_1","36.6614","8.7376","90","",""
"TP12","TP","BottomLayer","TEST_1","40.4876","16.9164","90","",""
"TP9","TP","BottomLayer","TEST_1","36.9570","16.8910","180","",""
"TP8","TP","BottomLayer","TEST_1","22.1996","10.3886","180","",""
"TP7","TP","BottomLayer","TEST_1","23.2918","28.6766","180","",""
"TP6","TP","BottomLayer","TEST_1","26.2868","10.4042","180","",""
"TP5","TP","BottomLayer","TEST_1","14.8568","22.2250","180","",""
"R39","0R","BottomLayer","RES_0402","22.2995","31.9408","180","Resistor",""
"R38","0R","BottomLayer","RES_0402","22.2995","32.9500","180","Resistor",""
"LC1","0.5-10P上接","BottomLayer","FPC0.5-WT-10P","28.8184","21.8225","180","上接10p",""
"R36","10K","TopLayer","RES_0402","9.8044","17.6022","360","Resistor",""
"Q9","Si1308EDL-T1-GE3","TopLayer","SOT65P210X110-3N","11.7094","15.7480","0","MOSFET (N-Channel)",""
"L1","68uH ±20%","TopLayer","SWPA3015","15.9512","18.1551","180","Magnetic-Core Inductor",""
"EINK1","FPC05024-17205","BottomLayer","FPC0.5-WT-24P","5.2617","15.1638","90","上接24p",""
"D11","MBR0530","TopLayer","SOD3716X135N","11.0490","13.2842","0","Diode",""
"D10","MBR0530","TopLayer","SOD3716X135N","11.0490","10.7173","180","Diode",""
"D9","MBR0530","TopLayer","SOD3716X135N","11.0490","8.1280","0","Diode",""
"C32","1uF","TopLayer","CAP_0402","7.4168","15.1130","180","Capacitor",""
"C31","4.7uF","TopLayer","CAP_0402","7.4168","8.4391","0","Capacitor",""
"C30","4.7uF","TopLayer","CAP_0402","7.4168","9.3281","0","Capacitor",""
"C29","4.7uF","TopLayer","CAP_0402","7.4168","10.2171","0","Capacitor",""
"C28","4.7uF","TopLayer","CAP_0402","7.4168","11.1061","0","Capacitor",""
"C27","1uF","TopLayer","CAP_0402","7.4168","15.9766","180","Capacitor",""
"C26","1uF","TopLayer","CAP_0402","7.4168","16.8402","180","Capacitor",""
"C25","1uF","TopLayer","CAP_0402","7.4168","14.2494","180","Capacitor",""
"C24","4.7uF","TopLayer","CAP_0402","14.1732","14.0208","90","Capacitor",""
"C23","4.7uF","TopLayer","CAP_0402","16.6624","20.8429","360","Capacitor",""
"C22","4.7uF","TopLayer","CAP_0402","7.4168","11.9697","0","Capacitor",""
"C21","1uF","TopLayer","CAP_0402","7.4168","17.7038","180","Capacitor",""
"TP3","TP","TopLayer","TP_SMD","1.2446","15.7480","90","",""
"TP1","TP","TopLayer","TP_SMD","1.2446","9.5753","90","",""
"D4","SK34A","TopLayer","SMA","20.0118","2.2266","360","GOOD_ARK Schottky Diode",""
"TP4","TP","BottomLayer","TEST_1","20.3914","5.0320","90","",""
"R35","10K","TopLayer","RES_0402","22.6822","6.6040","180","Resistor",""
"R34","10K","TopLayer","RES_0402","22.1488","8.5852","90","Resistor",""
"R32","10K","TopLayer","RES_0402","22.6822","5.7150","360","Resistor",""
"R31","1K","TopLayer","RES_0402","15.9258","10.9903","360","Resistor",""
"R30","100K","TopLayer","RES_0402","38.7039","4.5400","270","Resistor",""
"R28","100K","BottomLayer","RES_0402","23.2410","19.0754","270","Resistor",""
"Q8","AO3401A","TopLayer","SOT23-3","36.4138","4.7516","0","P-MOS",""
"Q6","AO3401A","BottomLayer","SOT23-3","19.7958","19.4719","180","P-MOS",""
"P6","SOLAR_CON","TopLayer","PH2.0-W-2P","12.1666","21.5646","270","PH2.0-2P-LT",""
"IC1","BQ24074RGTR","TopLayer","QFN50P300X300X100-17N-D","19.3922","7.3928","90","Integrated Circuit",""
"D8","LTST-C281KGKT","TopLayer","LED_0402_RED","24.0411","8.0518","270","GREEN_LED",""
"D7","16-213/SDRC/S530-A3/TR8","TopLayer","LED_0402_RED","23.1623","8.0473","270","RED_LED",""
"D6","SK34A","TopLayer","SMA","20.1980","19.6663","90","GOOD_ARK Schottky Diode",""
"C20","10uF","TopLayer","CAP_0402","22.1488","10.5918","90","Capacitor",""
"C19","10uF","TopLayer","CAP_0402","18.6894","10.1346","360","Capacitor",""
"C18","10uF","TopLayer","CAP_0402","18.6894","11.0488","360","Capacitor",""
"C17","10uF","TopLayer","CAP_0402","15.6231","5.3590","270","Capacitor",""
"USB1","TYPE-611-T3","TopLayer","Type-C-TOP","28.8184","3.8100","270","16pin",""
"AT1","ATGM336H Module","TopLayer","PCBComponent_1","46.8884","15.1130","90","ATGM336H Module",""
"SW1","SIQ-02FVS3","TopLayer","SIQ-02FVS3","61.9786","16.3830","270","Rotary Encoder","Extended Part"
"P5","C191195","BottomLayer","FPC0.5-WT-4P","17.0219","40.4622","90","Header, 4-Pin",""
"P4","C191195","TopLayer","FPC0.5-WT-4P","61.7259","27.8130","270","Header, 4-Pin",""
"P3","C191195","TopLayer","FPC0.5-WT-4P","20.5779","31.1150","270","Header, 4-Pin",""
"P2","IPEX-4","TopLayer","COAXIAL/SMD/CON/V/I-PEX/W08-5801","23.5869","26.0350","90","Plug",""
"J1","IPEX-4","TopLayer","COAXIAL/SMD/CON/V/I-PEX/W08-5801","60.0969","5.0970","90","Socket",""
"A1","AN2051-245","TopLayer","ANT-Rainsun-AN5120","65.0609","5.0970","360","footprint: 2051",""
"P1","BAT_CON","TopLayer","PH2.0-W-2P","14.1347","3.2766","270","PH2.0-2P-LT",""
"S1","TSA363G25-250B","TopLayer","SW_SMD-3*6*2.5","4.3842","12.6786","270","Single-Pole, Single-Throw Switch",""
"CT1","FPC05006-09200","BottomLayer","FPC0.5-WT-6P","19.8194","27.5375","180","下接6p",""
"U5","MPU6050","TopLayer","QFN-24","35.4203","12.1363","0","六轴传感器",""
"U4","ESP32-PICO-D4","TopLayer","QFN-48_7X7","29.3184","29.9100","90","",""
"U2","CP2102","TopLayer","QFN-28","29.5175","12.3863","90","USB转TTL",""
"U1","ME6215C33M5G","TopLayer","SOT23-5","24.2824","18.3868","90","LDO",""
"TF1","TF-012D","TopLayer","TF-SOCKET","42.4734","25.6820","360","8脚自弹",""
"R27","10K","TopLayer","RES_0402","35.1903","31.6680","180","Resistor",""
"R26","10K","TopLayer","RES_0402","35.1608","29.9886","360","Resistor",""
"R25","10K","TopLayer","RES_0402","35.1525","27.3176","360","Resistor",""
"R23","10K","TopLayer","RES_0402","35.1608","28.2066","360","Resistor",""
"R22","10K","TopLayer","RES_0402","35.1525","26.4286","360","Resistor",""
"R21","10K","TopLayer","RES_0402","35.1608","29.0956","360","Resistor",""
"R20","10K","TopLayer","RES_0402","23.9531","30.0370","360","Resistor",""
"R19","10K","TopLayer","RES_0402","23.9531","29.1480","360","Resistor",""
"R18","10K","TopLayer","RES_0402","35.1608","25.5316","360","Resistor",""
"R17","10K","TopLayer","RES_0402","33.9344","19.9898","360","Resistor",""
"R16","5.1K","TopLayer","RES_0402","27.5524","8.2896","90","Resistor",""
"R15","10R","TopLayer","RES_0402","33.9344","20.8788","360","Resistor",""
"R14","5.1K","TopLayer","RES_0402","30.5578","8.2435","270","Resistor",""
"R13","10K","TopLayer","RES_0402","32.6018","23.9014","90","Resistor",""
"R12","12K","TopLayer","RES_0402","28.1544","16.4667","90","Resistor",""
"R11","10K","TopLayer","RES_0402","15.0876","6.7818","180","Resistor",""
"R10","1K","TopLayer","RES_0402","15.0931","7.6144","360","Resistor",""
"R9","12K","TopLayer","RES_0402","31.8771","16.4817","270","Resistor",""
"R8","10K","TopLayer","RES_0402","15.0931","8.5028","360","Resistor",""
"R7","20K","TopLayer","RES_0402","15.3162","13.9954","270","Resistor",""
"R6","200R","TopLayer","RES_0402","26.4414","16.1290","270","Resistor",""
"R5","0R","TopLayer","RES_0402","27.0256","23.6728","360","Resistor",""
"R4","100K","TopLayer","RES_0402","25.0208","8.5880","90","Resistor",""
"R3","20K","TopLayer","RES_0402","20.6502","14.7066","90","Resistor",""
"R2","100K","TopLayer","RES_0402","25.0190","10.5918","90","Resistor",""
"R1","10K","TopLayer","RES_0402","31.4122","8.2435","90","Resistor",""
"Q4","AO3400A","TopLayer","SOT23-3","34.4678","17.5514","270","N-MOS",""
"Q3","EMX1T2R","TopLayer","SOT563-6","29.9721","16.5136","360","",""
"Q2","AO3400A","TopLayer","SOT23-3","17.8962","13.2604","360","N-MOS",""
"Q1","AO3401A","TopLayer","SOT23-3","23.4442","14.1224","360","P-MOS",""
"D5","LTST-C281KGKT","TopLayer","LED_0402_RED","35.1903","32.5575","0","GREEN_LED",""
"D3","B5819W","TopLayer","SOD-323","24.2824","22.8600","180","40V",""
"D2","B5819W","TopLayer","SOD-323","29.3315","19.6330","270","40V",""
"D1","B5819W","TopLayer","SOD-323","31.0375","19.6330","90","40V",""
"C16","0.1uF","TopLayer","CAP_0402","37.5203","8.2171","90","Capacitor",""
"C15","2.2nF","TopLayer","CAP_0402","37.2491","15.4940","180","Capacitor",""
"C14","0.1uF","TopLayer","CAP_0402","35.9866","8.2171","270","Capacitor",""
"C13","0.1uF","BottomLayer","CAP_0402","17.9161","22.0672","0","Capacitor",""
"C12","10nF","TopLayer","CAP_0402","34.1376","8.5344","180","Capacitor",""
"C11","0.1uF","BottomLayer","CAP_0402","23.2410","21.5392","90","Capacitor",""
"C10","1uF","TopLayer","CAP_0402","33.4828","23.9014","270","Capacitor",""
"C9","10uF","TopLayer","CAP_0402","16.5100","5.3594","270","Capacitor",""
"C8","10uF","TopLayer","CAP_0402","15.9258","1.4478","90","Capacitor",""
"C7","10uF","TopLayer","CAP_0402","16.9330","15.7906","360","Capacitor",""
"C6","0.1uF","TopLayer","CAP_0402","23.9522","32.9438","360","Capacitor",""
"C5","10uF","TopLayer","CAP_0402","27.0447","24.6433","360","Capacitor",""
"C4","0.1uF","TopLayer","CAP_0402","31.7246","23.9014","90","Capacitor",""
"C3","10nF","TopLayer","CAP_0402","26.4414","19.5580","90","Capacitor",""
"C2","10uF","TopLayer","CAP_0402","25.2324","21.1270","180","Capacitor",""
"C1","0.1uF","TopLayer","CAP_0402","23.3324","21.1270","360","Capacitor",""
